,score,city,comment
199,0.5,北京,说好看的，我只想问一下，如果你的对象是像夏洛这样一个软饭男，就算梦回高中后都只是一事无成地躲在你的肩膀下面，你很乐意？反正我如果有这样的渣男对象，铁定分手。不喜欢就别勉强在一起，没幸福。
200,5.0,珠海,这是我们看的第一场电影 也是她最喜欢的电影之一 事后她说很喜欢里面的主题曲 我以为她会更懂得珍惜 我后来学了吉他弹奏 记得她不在身边我一个人呆宿舍的时候 我总去看她喜欢的那几部电影 后来怎么就变成这样了
201,5.0,深圳,完美，。。。。。
202,5.0,上海,It was where love began
203,3.5,天津,比较棒的电影喜剧小品元素为主的开心麻花原班人马打造 看的开心也有很多讽刺元素
204,5.0,沈阳,特别特别好。。
205,5.0,无锡,和妈妈一起看，感觉很青春。
206,5.0,太原,能笑死，整场没停过笑声，满满回忆，至我的青春岁月
207,4.0,南京,马什么冬梅？
208,5.0,宁波,电影院二刷！
209,5.0,嘉兴,*丝意淫之作，黄粱一梦浪子回头
210,5.0,鄂尔多斯,好看，很搞笑，好评！
211,4.5,绍兴,话剧到电影完美的转换
212,3.5,合肥,不错👍 还是比较喜欢的
213,5.0,大庆,很不错，搞笑！
214,4.0,长沙,不错不错，挺搞笑的。
215,5.0,武汉,有灵魂的生活喜剧
216,5.0,安丘,好笑，非常的好
217,4.0,云浮,全场都在笑，但也有泪点。里面有很多经典的元素，细细品味的话还是能感觉得到导演和编剧的用心。
218,3.5,成都,少有的优质喜剧片
219,4.5,贵阳,看了捧腹大笑的电影
220,5.0,惠阳,好看，非常喜欢的一部电影 !
221,3.5,沈阳,开心麻花从来不让人失望 虽是老梗但总是能玩出属于自己的新花样 大春 夏洛 秋雅 冬梅 春夏秋冬一个轮回 年年岁岁花相似 岁岁年年人不同
222,4.0,香河,能勾起我的某些情怀，开心麻花的作品确实品质保障
223,3.5,北京,好电影，哈哈的，还有感人戏
224,4.0,武汉,一般般吧，普通一喜剧片
225,5.0,厦门,666.........
226,5.0,商丘,很好！值得去看！
227,5.0,郑州,不错，很好看，！
228,5.0,兰州,三年了还在等我评论……
229,4.5,韶关,看了挺开心的
230,4.0,深圳,还可以吧！适合我看的，
231,5.0,广州,一眨眼三年过去了，现在才看到当初我和你看过的这部电影，咱还缺个影评。如今的你在哪里?不管好坏与否，你都会偶尔想起我吗? 夏洛一觉睡醒就发现此生最珍贵的东西还在身边，而我则永远失去了你，伊萧静。
232,5.0,广州,非常非常非常好看，梗新、演员好、有情怀、有节奏、有意义
233,0.5,商丘,是我目前最后悔的一次看电影，因为这是我请一个渣渣贱男看的，渣渣***
234,5.0,贵阳,心情不好的时候时不时过来重温一下，优秀的国产喜剧，无人超越，非常非常赞👍
235,5.0,上海,值得一看，全程无尿点，爆笑全场！
236,5.0,抚顺,好看，，，，，，，，
237,4.5,长沙,看着挺开心的，开心之余又有感触，生活就是这样……
238,3.5,淮安,好看，搞笑，
239,5.0,慈溪,很喜欢！看了无数遍
240,5.0,廊坊,开始的时候剧情台词很好笑，到最后满满的感动。
241,5.0,石家庄,足够爆照，足够煽情，足够优秀
242,5.0,大连,很好！！！！！！
243,5.0,伊春,特别搞笑，不错的电影。
244,5.0,营口,很不错的片子，至少在今后一个时期很难被超越的喜剧
